line,conv,group,name,text,sentiment
L1045,u0,m0,BIANCA,They do not!,negative
L1044,u2,m0,CAMERON,They do to!,neutral
L985,u0,m0,BIANCA,I hope so.,positive
L984,u2,m0,CAMERON,She okay?,positive
L925,u0,m0,BIANCA,Let's go.,neutral
L924,u2,m0,CAMERON,Wow,positive
L872,u0,m0,BIANCA,Okay you're gonna need to learn how to lie.,negative
L871,u2,m0,CAMERON,No,negative
L870,u0,m0,BIANCA,I'm kidding. You know how sometimes you just become this persona? And you don't know how to quit?,negative
L869,u0,m0,BIANCA,Like my fear of wearing pastels?,negative
L868,u2,m0,CAMERON,The real you.,positive
L867,u0,m0,BIANCA,What good stuff?,neutral
L866,u2,m0,CAMERON,I figured you'd get to the good stuff eventually.,positive
L865,u2,m0,CAMERON,Thank God! If I had to hear one more story about your coiffure,positive
L864,u0,m0,BIANCA,Me. This endless blonde babble. I'm like boring myself.,negative
L863,u2,m0,CAMERON,What crap?,negative
L862,u0,m0,BIANCA,do you listen to this crap?,negative
L861,u2,m0,CAMERON,No,negative
L860,u0,m0,BIANCA,Then Guillermo says If you go any lighter you're gonna look like an extra on 90210.,negative
L699,u2,m0,CAMERON,You always been this selfish?,negative
L698,u0,m0,BIANCA,But,negative
L697,u2,m0,CAMERON,Then that's all you had to say.,negative
L696,u0,m0,BIANCA,Well no,negative
L695,u2,m0,CAMERON,You never wanted to go out with 'me did you?,negative
L694,u0,m0,BIANCA,I was?,negative
L693,u2,m0,CAMERON,I looked for you back at the party but you always seemed to be occupied.,negative
L663,u0,m0,BIANCA,Tons,positive
L662,u2,m0,CAMERON,Have fun tonight?,positive
L578,u2,m0,CAMERON,I believe we share an art instructor,positive
L577,u0,m0,BIANCA,You know Chastity?,neutral
L576,u2,m0,CAMERON,Looks like things worked out tonight huh?,positive
L575,u0,m0,BIANCA,Hi.,neutral
L407,u0,m0,BIANCA,Who knows? All I've ever heard her say is that she'd dip before dating a guy that smokes.,neutral
L406,u2,m0,CAMERON,So that's the kind of guy she likes? Pretty ones?,positive
L405,u0,m0,BIANCA,Lesbian? No. I found a picture of Jared Leto in one of her drawers so I'm pretty sure she's not harboring samesex tendencies.,negative
L404,u2,m0,CAMERON,She's not a,negative
L403,u2,m0,CAMERON,I'm workin' on it. But she doesn't seem to be goin' for him.,negative
L402,u0,m0,BIANCA,I really really really wanna go but I can't. Not unless my sister goes.,negative
L401,u2,m0,CAMERON,Sure have.,neutral
L368,u0,m0,BIANCA,Eber's Deep Conditioner every two days. And I never ever use a blowdryer without the diffuser attachment.,positive
L367,u2,m0,CAMERON,How do you get your hair to look like that?,neutral
L366,u0,m0,BIANCA,You're sweet.,positive
L365,u2,m0,CAMERON,You have my word. As a gentleman,positive
L364,u0,m0,BIANCA,I counted on you to help my cause. You and that thug are obviously failing. Aren't we ever going on our date?,negative
L363,u2,m0,CAMERON,You got something on your mind?,negative
L281,u0,m0,BIANCA,Where?,negative
L280,u2,m0,CAMERON,There.,neutral
L277,u2,m0,CAMERON,Well there's someone I think might be,positive
L276,u0,m0,BIANCA,How is our little Find the Wench A Date plan progressing?,neutral
L275,u0,m0,BIANCA,Forget French.,negative
L274,u2,m0,CAMERON,That's because it's such a nice one.,positive
L273,u0,m0,BIANCA,I don't want to know how to say that though. I want to know useful things. Like where the good stores are. How much does champagne cost? Stuff like Chat. I have never in my life had to point out my head to someone.,neutral
L272,u2,m0,CAMERON,Right. See? You're ready for the quiz.,negative
L271,u0,m0,BIANCA,C'esc ma tete. This is my head,negative
L208,u2,m0,CAMERON,Let me see what I can do.,neutral
L207,u0,m0,BIANCA,Gosh if only we could find Kat a boyfriend,positive
L206,u2,m0,CAMERON,That's a shame.,negative
L205,u0,m0,BIANCA,Unsolved mystery. She used to be really popular when she started high school then it was just like she got sick of it or something.,negative
L204,u2,m0,CAMERON,Why?,negative
L203,u2,m0,CAMERON,Seems like she could get a date easy enough,positive
L202,u0,m0,BIANCA,The thing is Cameron I'm at the mercy of a particularly hideous breed of loser. My sister. I can't date until she does.,negative
L201,u2,m0,CAMERON,Cameron.,positive
L200,u0,m0,BIANCA,No no it's my fault we didn't have a proper introduction,negative
L199,u2,m0,CAMERON,Forget it.,negative
L198,u0,m0,BIANCA,You're asking me out. That's so cute. What's your name again?,positive
L197,u2,m0,CAMERON,Okay then how 'bout we try out some French cuisine. Saturday? Night?,neutral
L196,u0,m0,BIANCA,Not the hacking and gagging and spitting part. Please.,negative
L195,u2,m0,CAMERON,Well I thought we'd start with pronunciation if that's okay with you.,negative
L194,u0,m0,BIANCA,Can we make this quick? Roxanne Korrine and Andrew Barrett are having an incredibly horrendous public break up on the quad. Again.,negative
L953,u0,m0,BIANCA,I did.,positive
L952,u3,m0,CHASTITY,You think you ' re the only sophomore at the prom?,negative
L660,u3,m0,CHASTITY,I don't have to be home 'til two.,positive
L659,u0,m0,BIANCA,I have to be home in twenty minutes.,negative
L600,u3,m0,CHASTITY,All I know is I'd give up my private line to go out with a guy like Joey.,positive
L599,u0,m0,BIANCA,Sometimes I wonder if the guys we're supposed to want to go out with are the ones we actually want to go out with you know?,neutral
L598,u3,m0,CHASTITY,Bianca I don't think the highlights of dating Joey Dorsey are going to include dooropening and coatholding.,neutral
L597,u0,m0,BIANCA,Combination. I don't know I thought he'd be different. More of a gentleman,positive
L596,u3,m0,CHASTITY,Is he oily or dry?,negative
L595,u0,m0,BIANCA,He practically proposed when he found out we had the same dermatologist. I mean. Dr. Bonchowski is great an all but he's not exactly relevant party conversation.,positive
L580,u0,m0,BIANCA,Would you mind getting me a drink Cameron?,neutral
L579,u3,m0,CHASTITY,Great,positive
L573,u0,m0,BIANCA,Joey.,positive
L572,u3,m0,CHASTITY,Who?,neutral
L571,u0,m0,BIANCA,Where did he go? He was just here.,negative
L51,u0,m0,BIANCA,You might wanna think about it,neutral
L50,u3,m0,CHASTITY,No.,negative
L49,u0,m0,BIANCA,Did you change your hair?,negative
L760,u0,m0,BIANCA,You know the deal. I can ' t go if Kat doesn't go,neutral
L759,u4,m0,JOEY,Listen I want to talk to you about the prom.,neutral
L758,u4,m0,JOEY,You're concentrating awfully hard considering it's gym class.,neutral
L757,u0,m0,BIANCA,Hi Joey.,neutral
L756,u4,m0,JOEY,Hey sweet cheeks.,positive
L593,u4,m0,JOEY,My agent says I've got a good shot at being the Prada guy next year.,positive
L592,u0,m0,BIANCA,Neat,positive
L591,u4,m0,JOEY,It's a gay cruise line but I'll be like wearing a uniform and stuff.,positive
L590,u0,m0,BIANCA,Queen Harry?,positive
L589,u4,m0,JOEY,So yeah I've got the Sears catalog thing going and the tube sock gig that's gonna be huge. And then I'm up for an ad for Queen Harry next week.,positive
L397,u0,m0,BIANCA,Hopefully.,positive
L396,u4,m0,JOEY,Exactly So you going to Bogey Lowenbrau's thing on Saturday?,negative
L395,u0,m0,BIANCA,Expensive?,negative
L394,u4,m0,JOEY,It's more,positive
L1052,u5,m0,KAT,Perm?,neutral
L1051,u0,m0,BIANCA,Patrick is that a.,positive
L1022,u5,m0,KAT,It's just you.,positive
L1021,u0,m0,BIANCA,Is that woman a complete fruitloop or is it just me?,positive
L1011,u0,m0,BIANCA,No! I just wanted,positive
L1010,u5,m0,KAT,What? To completely damage me? To send me to therapy forever? What?,negative
L1009,u0,m0,BIANCA,I just wanted,positive
L1008,u5,m0,KAT,You set me up.,negative
L1007,u0,m0,BIANCA,Let go!,neutral
L983,u5,m0,KAT,So did you,positive
L982,u0,m0,BIANCA,You looked beautiful last night you know.,positive
L914,u0,m0,BIANCA,I guess I'll never know will I?,negative
L913,u5,m0,KAT,Not all experiences are good Bianca. You can't always trust the people you want to.,negative
L912,u0,m0,BIANCA,God you're just like him! Just keep me locked away in the dark so I can't experience anything for myself,negative
L911,u5,m0,KAT,I guess I thought I was protecting you.,negative
L910,u0,m0,BIANCA,I'm not stupid enough to repeat your mistakes.,negative
L909,u5,m0,KAT,That's not,negative
L908,u0,m0,BIANCA,No. you didn't! If you really thought I could make my own decisions you would've let me go out with him instead of helping Daddy hold me hostage.,negative
L907,u5,m0,KAT,I wanted to let you make up your own mind about him.,positive
L906,u0,m0,BIANCA,Why didn't you tell me?,negative
L905,u5,m0,KAT,After that I swore I'd never do anything just because everyone else was doing it. And I haven't since. Except for Bogey's party and my stunning gastrointestinal display,positive
L904,u0,m0,BIANCA,But,negative
L903,u5,m0,KAT,Just once. Afterwards I told him I didn't want to anymore. I wasn't ready. He got pissed. Then he broke up with me.,negative
L902,u0,m0,BIANCA,You did what?,negative
L901,u5,m0,KAT,He said everyone was doing it. So I did it.,positive
L900,u0,m0,BIANCA,As in,neutral
L899,u5,m0,KAT,Now I do. Back then was a different story.,negative
L898,u0,m0,BIANCA,But you hate Joey,negative
L897,u5,m0,KAT,He was like a total babe,positive
L896,u0,m0,BIANCA,Why?,negative
L895,u5,m0,KAT,In 9th. For a month,positive
L894,u0,m0,BIANCA,What?,negative
L893,u5,m0,KAT,Joey never told you we went out did he?,negative
L892,u0,m0,BIANCA,I wish I had that luxury. I'm the only sophomore that got asked to the prom and I can't go because you won ' t.,negative
L891,u5,m0,KAT,I do care. But I'm a firm believer in doing something for your own reasons not someone else ' s .,negative
L890,u0,m0,BIANCA,Like you care.,positive
L889,u5,m0,KAT,Listen I know you hate having to sit home because I'm not Susie High School.,negative
L656,u5,m0,KAT,You're welcome.,positive
L655,u0,m0,BIANCA,I don't get you. You act like you're too good for any of this and then you go totally apeshit when you get here.,negative
L602,u0,m0,BIANCA,I really don't think I need any social advice from you right now.,negative
L601,u5,m0,KAT,Bianca I need to talk to you I need to tell you,neutral
L543,u5,m0,KAT,Can we go now?,neutral
L542,u0,m0,BIANCA,You are so completely unbalanced.,negative
L533,u0,m0,BIANCA,Yeah he's your freak friend Mandella's boyfriend. I guess since I'm not allowed to go out I should obsess over a dead guy too.,negative
L532,u5,m0,KAT,It's Shakespeare. Maybe you've heard of him?,neutral
L531,u0,m0,BIANCA,Like I'm supposed to know what that even means.,negative
L530,u5,m0,KAT,At least I'm not a clouted fen sucked hedgepig.,positive
L529,u0,m0,BIANCA,Can't you forget for just one night that you're completely wretched?,negative
L527,u0,m0,BIANCA,Bogey Lowenstein's party is normal but you're too busy listening to Bitches Who Need Prozac to know that.,neutral
L526,u5,m0,KAT,What's normal?,neutral
L525,u0,m0,BIANCA,You're ruining my life' Because you won't be normal I can't be normal.,negative
L445,u0,m0,BIANCA,I think you're a freak. I think you do this to torture me. And I think you suck.,negative
L444,u5,m0,KAT,What do you think?,negative
L443,u0,m0,BIANCA,Oh I thought you might have a date I don't know why I'm bothering to ask but are you going to Bogey Lowenstein's party Saturday night?,negative
L442,u5,m0,KAT,It means that Gigglepuss is playing at Club Skunk and we're going.,positive
L441,u0,m0,BIANCA,Oh my God does this mean you're becoming normal?,negative
L320,u0,m0,BIANCA,Can you at least start wearing a bra?,neutral
L319,u5,m0,KAT,I have the potential to smack the crap out of you if you don't get out of my way.,negative
L165,u0,m0,BIANCA,Nowhere Hi Daddy.,positive
L164,u5,m0,KAT,Where've you been?,negative
L923,u0,m0,BIANCA,I have a date Daddy. And he ' s not a captain of oppression like some men we know.,positive
L922,u11,m0,WALTER,I'm missing something.,negative
L884,u0,m0,BIANCA,Fine. I see that I'm a prisoner in my own house. I'm not a daughter. I'm a possession!,negative
L883,u11,m0,WALTER,You're not going unless your sister goes. End of story.,neutral
L882,u0,m0,BIANCA,He's not a hot rod. Whatever that is.,negative
L881,u11,m0,WALTER,It's that hot rod Joey right? That ' s who you want me to bend my rules for?,positive
L880,u0,m0,BIANCA,No but,negative
L879,u11,m0,WALTER,The prom? Kat has a date?,positive
L878,u0,m0,BIANCA,Daddy I want to discuss the prom with you. It's tomorrow night,neutral
L546,u11,m0,WALTER,Because she'll scare them away.,negative
L545,u0,m0,BIANCA,Why?,negative
L544,u11,m0,WALTER,Promise me you won't talk to any boys unless your sister is present.,negative
L540,u11,m0,WALTER,Just for a minute,positive
L539,u0,m0,BIANCA,Daddy no!,neutral
L538,u11,m0,WALTER,Wear the belly before you go.,neutral
L537,u0,m0,BIANCA,It's just a party. Daddy.,positive
L536,u11,m0,WALTER,Oh God. It's starting.,positive
L524,u11,m0,WALTER,If Kat's not going you're not going.,negative
L523,u0,m0,BIANCA,Daddy people expect me to be there!,negative
L521,u0,m0,BIANCA,It's just a party. Daddy but I knew you'd forbid me to go since Gloria Steinem over there isn't going,negative
L520,u11,m0,WALTER,Otherwise known as an orgy?,neutral
L519,u0,m0,BIANCA,If you must know we were attempting to go to a small study group of friends.,neutral
L518,u11,m0,WALTER,And where're you going?,negative
L517,u0,m0,BIANCA,Daddy I,positive
L190,u11,m0,WALTER,Exactly my point,positive
L189,u0,m0,BIANCA,But she doesn't want to date.,negative
L183,u0,m0,BIANCA,But it's not fair she's a mutant Daddy!,negative
L182,u11,m0,WALTER,Then neither will you. And I'll get to sleep at night.,negative
L181,u0,m0,BIANCA,What if she never starts dating?,negative
L180,u11,m0,WALTER,No! You're not dating until your sister starts dating. End of discussion.,negative
L179,u0,m0,BIANCA,Now don't get upset. Daddy but there's this boy and I think he might ask,positive
L463,u1,m0,BRUCE,Just sent 'em through.,positive
L462,u9,m0,PATRICK,Padua girls. One tall decent body. The other one kinda short and undersexed?,positive
L461,u1,m0,BRUCE,Never,negative
L460,u9,m0,PATRICK,Fan of a fan. You see a couple of minors come in?,neutral
L459,u1,m0,BRUCE,Didn't have you pegged for a Gigglepuss fan. Aren't they a little too preteen bellybutton ring for you?,negative
L458,u9,m0,PATRICK,Always a pleasure Brucie.,positive
L779,u7,m0,MICHAEL,Best case scenario you're back on the payroll for awhile.,positive
L778,u2,m0,CAMERON,You humiliated the woman! Sacrifice yourself on the altar of dignity and even the score.,neutral
L586,u2,m0,CAMERON,No I ' m not.,negative
L585,u7,m0,MICHAEL,Buttholus extremus. But hey you're making progress.,positive
L584,u2,m0,CAMERON,The hell is that? What kind of 'guy just picks up a girl and carries her away while you're talking to her?,negative
L583,u7,m0,MICHAEL,Extremely unfortunate maneuver.,negative
L500,u2,m0,CAMERON,Hell I've just been going over the whole thing in my head and ,negative
L499,u7,m0,MICHAEL,You told me that part already.,negative
L433,u2,m0,CAMERON,It's her favorite band.,positive
L432,u7,m0,MICHAEL,Assail your ears for one night.,positive
L425,u2,m0,CAMERON,Okay! I wasn't sure,positive
L424,u7,m0,MICHAEL,He's pretty!,positive
L419,u7,m0,MICHAEL,Dead at fortyone.,negative
L418,u2,m0,CAMERON,Her favorite uncle,positive
L417,u7,m0,MICHAEL,It's a lung cancer issue,negative
L416,u2,m0,CAMERON,Number one. She hates smokers,negative
L391,u7,m0,MICHAEL,Are you kidding? He'll piss himself with joy. He's the ultimate kiss ass.,negative
L390,u2,m0,CAMERON,Will Bogey get bent?,neutral
L389,u7,m0,MICHAEL,In that case we'll need to make it a schoolwide blow out.,neutral
L388,u2,m0,CAMERON,This is it. A golden opportunity. Patrick can ask Katarina to the party.,positive
L245,u7,m0,MICHAEL,Like we had a choice? Besides when you let the enemy think he's orchestrating the battle you're in a position of power. We let him pretend he's calling the shots and while he's busy setting up the plan you have time to woo Bianca.,negative
L244,u2,m0,CAMERON,You got him involved?,negative
L225,u7,m0,MICHAEL,Hey I've gotta have a few clients when I get to Wall Street.,positive
L224,u2,m0,CAMERON,I thought you hated those people.,negative
L223,u7,m0,MICHAEL,You know if you do go out with Bianca you'd be set. You'd outrank everyone. Strictly Alist. With me by your side.,neutral
L222,u2,m0,CAMERON,That's what I just said,negative
L221,u7,m0,MICHAEL,Did she actually say she'd go out with you?,negative
L220,u2,m0,CAMERON,Forget his reputation. Do you think we've got a plan or not?,negative
L219,u7,m0,MICHAEL,I'm serious man he's whacked. He sold his own liver on the black market so he could buy new speakers.,negative
L218,u2,m0,CAMERON,They always let felons sit in on Honors Biology?,negative
L217,u7,m0,MICHAEL,No kidding. He's a criminal. I heard he lit a state trooper on fire. He just got out of Alcatraz,negative
L216,u2,m0,CAMERON,He seems like he thrives on danger,negative
L215,u7,m0,MICHAEL,What makes you think he'll do it?,negative
L213,u7,m0,MICHAEL,You wanna go out with him?,neutral
L212,u2,m0,CAMERON,What about him?,negative
L211,u7,m0,MICHAEL,Unlikely but even so she still can't go out with you. So what's the point?,negative
L210,u2,m0,CAMERON,I teach her French get to know her dazzle her with charm and she falls in love with me.,positive
L159,u7,m0,MICHAEL,The mewling rampalian wretch herself.,positive
L158,u2,m0,CAMERON,That's her? Bianca's sister?,negative
L157,u7,m0,MICHAEL,Yeah just a minor encounter with the shrew.,positive
L147,u7,m0,MICHAEL,You could consecrate with her my friend.,neutral
L146,u2,m0,CAMERON,You mean I'd get a chance to talk to her?,negative
L145,u7,m0,MICHAEL,Guess who just signed up for a tutor?,positive
L144,u2,m0,CAMERON,Sure do  my Mom's from Canada,neutral
L143,u7,m0,MICHAEL,You know French?,neutral
L142,u7,m0,MICHAEL,Joey Dorsey? Permashitgrin. I wish I could say he's a moron but he's number twelve in the class. And a model. Mostly regional stuff but he's rumored to have a big tube sock ad coming out.,positive
L141,u2,m0,CAMERON,He always have that shiteating grin?,positive
L140,u7,m0,MICHAEL,Because they're bred to. Their mothers liked guys like that and their grandmothers before them. Their gene pool is rarely diluted.,negative
L139,u2,m0,CAMERON,Why do girls like that always like guys like that?,negative
L92,u7,m0,MICHAEL,I could start with your haircut but it doesn't matter. She's not allowed to date until her older sister does. And that's an impossibility.,negative
L91,u2,m0,CAMERON,Why not?,negative
L90,u7,m0,MICHAEL,Bianca Stratford. Sophomore. Don't even think about it,negative
L89,u2,m0,CAMERON,Who is she?,neutral
L88,u7,m0,MICHAEL,You burn you pine you perish?,negative
L87,u2,m0,CAMERON,That girl I,positive
L78,u7,m0,MICHAEL,Yeah but these guys have never seen a horse. They just jack off to Clint Eastwood.,positive
L77,u2,m0,CAMERON,That I'm used to.,positive
L74,u7,m0,MICHAEL,Couple thousand. Most of them evil,negative
L73,u2,m0,CAMERON,How many people go here?,neutral
L72,u7,m0,MICHAEL,Get out!,neutral
L71,u2,m0,CAMERON,Thirtytwo.,positive
L70,u7,m0,MICHAEL,How many people were in your old school?,negative
L69,u2,m0,CAMERON,Yeah. A couple. We're outnumbered by the cows though.,positive
L68,u7,m0,MICHAEL,I was kidding. People actually live there?,negative
L67,u2,m0,CAMERON,North actually. How'd you,neutral
L66,u7,m0,MICHAEL,So which Dakota you from?,negative
L65,u7,m0,MICHAEL,C'mon. I'm supposed to give you the tour.,neutral
L64,u2,m0,CAMERON,So they tell me,neutral
L63,u7,m0,MICHAEL,You the new guy?,positive
L781,u2,m0,CAMERON,You get the girl.,positive
L780,u9,m0,PATRICK,What's the worst?,negative
L745,u9,m0,PATRICK,Where?,negative
L744,u2,m0,CAMERON,She kissed me.,positive
L743,u9,m0,PATRICK,You makin' any headway?,negative
L741,u9,m0,PATRICK,She just needs time to cool off I'll give it a day.,positive
L740,u2,m0,CAMERON,She hates you with the fire of a thousand suns . That's a direct quote,positive
L726,u9,m0,PATRICK,I don ' t know. I decided not to nail her when she was too drunk to remember it.,negative
L725,u2,m0,CAMERON,What'd you do to her?,negative
L625,u9,m0,PATRICK,Then go get her,neutral
L624,u2,m0,CAMERON,Sure,neutral
L623,u9,m0,PATRICK,Cameron do you like the girl?,neutral
L622,u2,m0,CAMERON,She's partial to Joey not me,negative
L621,u9,m0,PATRICK,What 're you talking about?,negative
L620,u2,m0,CAMERON,It's off. The whole thing.,positive
L619,u9,m0,PATRICK,Cameron I'm a little busy,negative
L431,u9,m0,PATRICK,Don't make me do it man,negative
L430,u2,m0,CAMERON,Gigglepuss is playing there tomorrow night.,positive
L427,u9,m0,PATRICK,So what does that give me? I'm supposed to buy her some noodles and a book and sit around listening to chicks who can't play their instruments?,negative
L426,u2,m0,CAMERON,Okay Likes: Thai food feminist prose and angry stinky girl music of the indierock persuasion.,neutral
L412,u2,m0,CAMERON,I've retrieved certain pieces of information on Miss Katarina Stratford I think you'll find helpful.,neutral
L411,u9,m0,PATRICK,What've you got for me?,positive
L386,u9,m0,PATRICK,Yeah we'll see.,neutral
L385,u2,m0,CAMERON,And he means that strictly in a non prisonmovie type of way.,positive
L558,u4,m0,JOEY,And why would I do that?,negative
L557,u5,m0,KAT,Leave my sister alone.,negative
L556,u4,m0,JOEY,Your sister here?,neutral
L555,u5,m0,KAT,Away.,neutral
L554,u4,m0,JOEY,Where ya goin?,neutral
L336,u4,m0,JOEY,Not at all,negative
L335,u5,m0,KAT,Hey do you mind?,negative
L150,u4,m0,JOEY,They're running the rest of me next month.,negative
L149,u5,m0,KAT,Yeah and I noticed the only part of you featured in your big Kmart spread was your elbow. Tough break.,negative
L148,u4,m0,JOEY,The vintage look is over Kat. Haven't you been reading your Sassy?,neutral
L748,u4,m0,JOEY,Enough with the Barbie n' Ken shit. I know.,negative
L747,u9,m0,PATRICK,I don't know Dorsey. ..the limo.the flowers. Another hundred for the tux,positive
L609,u4,m0,JOEY,Get her to act like a human,neutral
L608,u9,m0,PATRICK,Do what?,neutral
L607,u4,m0,JOEY,How'd you do it?,neutral
L606,u4,m0,JOEY,A deal's a deal.,positive
L605,u9,m0,PATRICK,It's about time.,positive
L358,u9,m0,PATRICK,Forget her sister then.,negative
L357,u4,m0,JOEY,Forget it.,negative
L356,u9,m0,PATRICK,A hundred bucks a date.,neutral
L355,u4,m0,JOEY,What?,negative
L354,u9,m0,PATRICK,I just upped my price,positive
L352,u9,m0,PATRICK,I got her under control. She just acts crazed in public to keep up the image.,neutral
L351,u4,m0,JOEY,Watching the bitch trash my car doesn't count as a date.,negative
L350,u9,m0,PATRICK,I'm on it,neutral
L349,u4,m0,JOEY,When I shell out fifty I expect results.,neutral
L301,u9,m0,PATRICK,Fifty and you've got your man.,neutral
L300,u4,m0,JOEY,Take it or leave it. This isn't a negotiation.,neutral
L299,u4,m0,JOEY,Fine thirty.,positive
L298,u9,m0,PATRICK,I can't take a girl like that out on twenty bucks.,negative
L297,u9,m0,PATRICK,How much?,negative
